target_id	length	eff_length	est_counts	tpm
dna:chromosome	12	13	0	0
dna:chromosome	9	10	0	0
dna:chromosome	13	14	0	0
dna:chromosome	8	9	0	0
dna:chromosome	12	13	0	0
dna:chromosome	31	32	0	0
dna:chromosome	37	38	0	0
dna:chromosome	17	18	0	0
dna:chromosome	31	32	0	0
dna:chromosome	28	29	0	0
dna:chromosome	21	22	0	0
dna:chromosome	11	12	0	0
dna:chromosome	31	32	0	0
dna:chromosome	20	21	0	0
dna:chromosome	16	17	0	0
dna:chromosome	16	17	0	0
dna:chromosome	20	21	0	0
dna:chromosome	31	32	0	0
dna:chromosome	19	20	0	0
dna:chromosome	20	21	0	0
dna:chromosome	31	32	0	0
dna:chromosome	16	17	0	0
dna:chromosome	31	32	0	0
dna:chromosome	23	24	0	0
dna:chromosome	21	22	0	0
dna:chromosome	21	22	0	0
dna:chromosome	18	19	0	0
dna:chromosome	17	18	0	0
dna:chromosome	18	19	0	0
dna:chromosome	17	18	0	0
dna:chromosome	31	32	0	0
dna:chromosome	17	18	0	0
dna:chromosome	18	19	0	0
dna:chromosome	17	18	0	0
dna:chromosome	31	32	0	0
dna:chromosome	23	24	0	0
dna:chromosome	17	18	0	0
dna:chromosome	20	21	0	0
dna:chromosome	31	32	0	0
dna:chromosome	17	18	0	0
dna:chromosome	20	21	0	0
dna:chromosome	11	12	0	0
dna:chromosome	31	32	0	0
dna:chromosome	17	18	0	0
dna:chromosome	17	18	0	0
dna:chromosome	31	32	0	0
dna:chromosome	19	20	0	0
dna:chromosome	31	32	0	0
dna:chromosome	19	20	0	0
dna:chromosome	31	32	0	0
dna:chromosome	16	17	0	0
dna:chromosome	23	24	0	0
dna:chromosome	31	32	0	0
dna:chromosome	20	21	0	0
dna:chromosome	31	32	0	0
dna:chromosome	31	32	0	0
dna:chromosome	28	29	0	0
dna:chromosome	31	32	0	0
dna:chromosome	19	20	0	0
dna:chromosome	31	32	0	0
dna:chromosome	20	21	0	0
dna:chromosome	16	17	0	0
dna:chromosome	23	24	0	0
dna:chromosome	37	38	0	0
dna:chromosome	21	22	0	0
dna:chromosome	16	17	0	0
dna:chromosome	18	19	0	0
dna:chromosome	20	21	0	0
dna:chromosome	17	18	0	0
dna:chromosome	347	248	0	0
dna:chromosome	364	265	0	0
dna:chromosome	411	312	0	0
dna:chromosome	350	251	0	0
dna:chromosome	347	248	0	0
dna:chromosome	336	237	0	0
dna:chromosome	348	249	0	0
dna:chromosome	356	257	1	0.236042
dna:chromosome	425	326	0	0
dna:chromosome	360	261	0	0
dna:chromosome	341	242	0	0
dna:chromosome	447	348	0.5	0.0871593
dna:chromosome	413	314	0	0
dna:chromosome	368	269	0	0
dna:chromosome	347	248	0	0
dna:chromosome	409	310	0	0
dna:chromosome	388	289	0	0
dna:chromosome	390	291	0	0
dna:chromosome	406	307	0	0
dna:chromosome	402	303	0	0
dna:chromosome	381	282	0	0
dna:chromosome	343	244	0	0
dna:chromosome	544	445	0	0
dna:chromosome	365	266	0	0
dna:chromosome	519	420	0	0
dna:chromosome	402	303	0	0
dna:chromosome	344	245	0	0
dna:chromosome	421	322	0	0
dna:chromosome	397	298	0	0
dna:chromosome	401	302	0	0
dna:chromosome	373	274	0	0
dna:chromosome	469	370	0	0
dna:chromosome	425	326	0	0
dna:chromosome	447	348	0.5	0.0871593
dna:chromosome	374	275	0	0
dna:chromosome	341	242	0	0
dna:chromosome	384	285	0	0
dna:chromosome	392	293	0	0
dna:chromosome	344	245	0	0
dna:chromosome	410	311	0	0
dna:chromosome	395	296	0	0
dna:chromosome	364	265	0	0
dna:chromosome	455	356	0	0
dna:chromosome	425	326	0	0
