"","Pathway","N","DE","P.DE","FDR.DE"
"path:hsa00946","Degradation of flavonoids",1,0,1,1
"path:hsa00780","Biotin metabolism",3,0,1,1
"path:hsa00290","Valine, leucine and isoleucine biosynthesis",4,1,0.123995885171683,0.255968113833942
"path:hsa00785","Lipoic acid metabolism",4,0,1,1
"path:hsa03264","Virion - Flavivirus",4,0,1,1
"path:hsa03265","Virion - Lyssavirus",4,0,1,1
"path:hsa03267","Virion - Adenovirus",4,1,0.123995885171683,0.255968113833942
"path:hsa00440","Phosphonate and phosphinate metabolism",5,0,1,1
"path:hsa00470","D-Amino acid metabolism",5,0,1,1
"path:hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",5,0,1,1
"path:hsa03260","Virion - Human immunodeficiency virus",5,1,0.152517145904324,0.305900866501286
"path:hsa00232","Caffeine metabolism",6,0,1,1
"path:hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",6,0,1,1
"path:hsa00750","Vitamin B6 metabolism",6,0,1,1
"path:hsa03266","Virion - Herpesvirus",6,0,1,1
"path:hsa00740","Riboflavin metabolism",8,2,0.0260065366053429,0.0784641659973167
"path:hsa00920","Sulfur metabolism",8,0,1,1
"path:hsa04122","Sulfur relay system",8,0,1,1
"path:hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,0,1,1
"path:hsa03450","Non-homologous end-joining",12,1,0.327821532225329,0.570784343625886
"path:hsa00450","Selenocompound metabolism",14,1,0.370896421935556,0.623459223539292
"path:hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,2,0.0743566766886986,0.18309236092825
"path:hsa00730","Thiamine metabolism",14,0,1,1
"path:hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",15,2,0.0840018744638353,0.198031979173364
"path:hsa00604","Glycosphingolipid biosynthesis - ganglio series",15,4,0.00114044173454515,0.00610111875130603
"path:hsa00360","Phenylalanine metabolism",16,0,1,1
"path:hsa00430","Taurine and hypotaurine metabolism",16,0,1,1
"path:hsa00061","Fatty acid biosynthesis",17,2,0.104319025460105,0.230478961042956
"path:hsa00120","Primary bile acid biosynthesis",17,0,1,1
"path:hsa00511","Other glycan degradation",17,1,0.430395776184892,0.687464746575868
"path:hsa00910","Nitrogen metabolism",17,0,1,1
"path:hsa00515","Mannose type O-glycan biosynthesis",19,0,1,1
